,tweet_id,text,rating_numerator,rating_denominator,name,date,time,dog_type,jpg_url,p1_conf,p2_conf,p3_conf,dog_breed,retweet_count,favorite_count
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,2017-08-01,16:23:56,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.0970486,0.0858511,0.07611,,6969,33696
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,2017-08-01,00:17:27,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.323581,0.0906465,0.0689569,Chihuahua,5272,29218
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,2017-07-31,00:18:03,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012,0.078253,0.0313789,Chihuahua,3464,21976
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,2017-07-30,15:58:51,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.1702779999999999,0.1680859999999999,0.0408359,Labrador_retriever,7191,36785
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,2017-07-29,16:00:24,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712,0.2257699999999999,0.175219,Basset,7715,35178
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,2017-07-29,00:08:17,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,0.425595,0.116317,0.0769021999999999,Chesapeake_bay_retriever,2586,17746
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,2017-07-28,16:27:12,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,0.341703,0.199287,0.193548,Appenzeller,1647,10329
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,2017-07-28,00:22:40,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142,0.1784059999999999,0.0765069,Pomeranian,15679,56658
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,2017-07-27,16:25:51,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,0.4875739999999999,0.193054,0.118184,Irish_terrier,3604,24423
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,2017-07-26,15:59:51,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,0.511319,0.451038,0.0292482,Pembroke,6067,27842
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,2017-07-26,00:31:25,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,0.957979,0.0138835,0.00816748,Samoyed,6111,26943
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,2017-07-25,16:11:53,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,0.377417,0.151317,0.0829811,French_bulldog,4141,24486
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,None,2017-07-25,01:55:32,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,0.966327,0.0273557,0.00463323,Pembroke,8302,41877
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,2017-07-25,00:10:02,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,0.99165,0.00212864,0.00149818,French_bulldog,3700,23577
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,2017-07-24,17:02:04,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,0.953442,0.0138341,0.00795775,Golden_retriever,1874,13312
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,2017-07-24,00:19:32,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,0.626152,0.194742,0.0273507,Whippet,4419,22024
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,2017-07-23,00:22:39,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,0.714719,0.1201839999999999,0.1055059999999999,Golden_retriever,3742,25531
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,2017-07-22,16:56:37,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,0.46976,0.184172,0.0734817,Golden_retriever,3513,22389
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,2017-07-22,00:23:06,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,0.700377,0.166511,0.111411,Siberian_husky,2863,17248
19,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,2017-07-20,16:49:33,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,0.995026,0.000931908,0.000903211,French_bulldog,2885,19099
20,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,Jeffrey,2017-07-19,16:06:48,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,0.821664,0.0875815,0.0262364,Basset,4516,26524
21,887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14,10,such,2017-07-19,03:39:09,,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,0.130432,0.0291754,0.0263208,,9809,40586
22,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Canela,2017-07-19,00:47:34,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,0.809197,0.05495,0.0389148,Pembroke,14952,59976
23,887343217045368832,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13,10,None,2017-07-18,16:08:03,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,0.330741,0.275645,0.134203,Mexican_hairless,8773,29487
24,887101392804085760,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12,10,None,2017-07-18,00:07:08,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,0.733942,0.0350295,0.0297047,Samoyed,4969,26896
